Marca,Producto,ml,Categoría,Costo USD,Comentario,id_star,url_star,stock_star,imagen_url,fecha_snapshot
,NEW NOTES AKIGALA MANDARINO EDP 50ML,50,REVISAR,240.00,,16004,https://www.starcompany-py.com/perfumes/16004-new-notes-akigala-mandarino-edp-50ml.html,17,https://www.starcompany-py.com/7930-home_default/new-notes-akigala-mandarino-edp-50ml.jpg,2026-07-10
,NEW NOTES CARAMELO VANILLA EDP 50ML,50,REVISAR,240.00,,16005,https://www.starcompany-py.com/perfumes/16005-new-notes-caramelo-vanilla-edp-50ml.html,14,https://www.starcompany-py.com/7931-home_default/new-notes-caramelo-vanilla-edp-50ml.jpg,2026-07-10
,NEW NOTES COCKTAIL MARACUJA EDP 50ML,50,REVISAR,240.00,,16006,https://www.starcompany-py.com/perfumes/16006-new-notes-cocktail-maracuja-edp-50ml.html,9,https://www.starcompany-py.com/7932-home_default/new-notes-cocktail-maracuja-edp-50ml.jpg,2026-07-10
,NEW NOTES EROTIKA MAXIMALE EDP 60ML,60,REVISAR,240.00,,16013,https://www.starcompany-py.com/perfumes/16013-new-notes-erotika-maximale-edp-60ml.html,4,https://www.starcompany-py.com/7941-home_default/new-notes-erotika-maximale-edp-60ml.jpg,2026-07-10
,NEW NOTES EROTIKA MINIMALE EDP 50ML,50,REVISAR,240.00,,16007,https://www.starcompany-py.com/perfumes/16007-new-notes-erotika-minimale-edp-50ml.html,23,https://www.starcompany-py.com/7933-home_default/new-notes-erotika-minimale-edp-50ml.jpg,2026-07-10
,NEW NOTES FELINA EDP 60ML,60,REVISAR,240.00,,16014,https://www.starcompany-py.com/perfumes/16014-new-notes-felina-edp-60ml.html,17,https://www.starcompany-py.com/7940-home_default/new-notes-felina-edp-60ml.jpg,2026-07-10
,NEW NOTES LATTE DI CHERRY EDP 50ML,50,REVISAR,240.00,,16008,https://www.starcompany-py.com/perfumes/16008-new-notes-latte-di-cherry-edp-50ml.html,18,https://www.starcompany-py.com/7934-home_default/new-notes-latte-di-cherry-edp-50ml.jpg,2026-07-10
,NEW NOTES LATTE PISTACHIO EDP 50ML,50,REVISAR,240.00,,16009,https://www.starcompany-py.com/perfumes/16009-new-notes-latte-pistachio-edp-50ml.html,19,https://www.starcompany-py.com/7936-home_default/new-notes-latte-pistachio-edp-50ml.jpg,2026-07-10
,NEW NOTES MAGICO SAFRANO EDP 60ML,60,REVISAR,240.00,,16015,https://www.starcompany-py.com/perfumes/16015-new-notes-magico-safrano-edp-60ml.html,26,https://www.starcompany-py.com/7942-home_default/new-notes-magico-safrano-edp-60ml.jpg,2026-07-10
,NEW NOTES MANGOMINA D EDP 60ML,60,REVISAR,240.00,,16016,https://www.starcompany-py.com/perfumes/16016-new-notes-mangomina-d-edp-60ml.html,23,https://www.starcompany-py.com/7943-home_default/new-notes-mangomina-d-edp-60ml.jpg,2026-07-10
,NEW NOTES MUSK COMPLEXITY EDP 50ML,50,REVISAR,240.00,,16012,https://www.starcompany-py.com/perfumes/16012-new-notes-musk-complexity-edp-50ml.html,22,https://www.starcompany-py.com/7939-home_default/new-notes-musk-complexity-edp-50ml.jpg,2026-07-10
,NEW NOTES QUEEN OF THE SEA EDP 50ML,50,REVISAR,240.00,,16010,https://www.starcompany-py.com/perfumes/16010-new-notes-queen-of-the-sea-edp-50ml.html,23,https://www.starcompany-py.com/7937-home_default/new-notes-queen-of-the-sea-edp-50ml.jpg,2026-07-10
,NEW NOTES ROSA LIMONE EXDP 50ML,50,REVISAR,240.00,,16011,https://www.starcompany-py.com/perfumes/16011-new-notes-rosa-limone-edp-50ml.html,24,https://www.starcompany-py.com/7938-home_default/new-notes-rosa-limone-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES AKIGALA MANDARINO EDP 50ML,50,Tester,200.00,,16026,https://www.starcompany-py.com/perfumes/16026-tester-new-notes-akigala-mandarino-edp-50ml.html,2,https://www.starcompany-py.com/7929-home_default/tester-new-notes-akigala-mandarino-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES CARAMELO VANILLA EDP 50ML,50,Tester,200.00,,16027,https://www.starcompany-py.com/perfumes/16027-tester-new-notes-caramelo-vanilla-edp-50ml.html,2,https://www.starcompany-py.com/7928-home_default/tester-new-notes-caramelo-vanilla-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES COCKTAIL MARACUJA EDP 50ML,50,Tester,200.00,,16028,https://www.starcompany-py.com/perfumes/16028-tester-new-notes-cocktail-maracuja-edp-50ml.html,2,https://www.starcompany-py.com/7927-home_default/tester-new-notes-cocktail-maracuja-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES EROTIKA MINIMALE EDP 50ML,50,Tester,200.00,,16030,https://www.starcompany-py.com/perfumes/16030-tester-new-notes-erotika-minimale-edp-50ml.html,2,https://www.starcompany-py.com/7924-home_default/tester-new-notes-erotika-minimale-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES FELINA EDP 60ML,60,Tester,200.00,,16031,https://www.starcompany-py.com/perfumes/16031-tester-new-notes-felina-edp-60ml.html,2,https://www.starcompany-py.com/7923-home_default/tester-new-notes-felina-edp-60ml.jpg,2026-07-10
,TESTER NEW NOTES LATTE DI CHERRY EDP 50ML,50,Tester,200.00,,16032,https://www.starcompany-py.com/perfumes/16032-tester-new-notes-latte-di-cherry-edp-50ml.html,2,https://www.starcompany-py.com/7922-home_default/tester-new-notes-latte-di-cherry-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES LATTE PISTACHIO EDP 50ML,50,Tester,200.00,,16033,https://www.starcompany-py.com/perfumes/16033-tester-new-notes-latte-pistachio-edp-50ml.html,1,https://www.starcompany-py.com/7921-home_default/tester-new-notes-latte-pistachio-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES MANGOMINA D EDP 60ML,60,Tester,200.00,,16035,https://www.starcompany-py.com/perfumes/16035-tester-new-notes-mangomina-d-edp-60ml.html,2,https://www.starcompany-py.com/7919-home_default/tester-new-notes-mangomina-d-edp-60ml.jpg,2026-07-10
,TESTER NEW NOTES MUSK COMPLEXITY EDP 50ML,50,Tester,200.00,,16036,https://www.starcompany-py.com/perfumes/16036-tester-new-notes-musk-complexity-edp-50ml.html,2,https://www.starcompany-py.com/7918-home_default/tester-new-notes-musk-complexity-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES QUEEN OF THE SEA EDP 50ML,50,Tester,200.00,,16037,https://www.starcompany-py.com/perfumes/16037-tester-new-notes-queen-of-the-sea-edp-50ml.html,1,https://www.starcompany-py.com/7926-home_default/tester-new-notes-queen-of-the-sea-edp-50ml.jpg,2026-07-10
,TESTER NEW NOTES ROSA LIMONE EDP 50ML,50,Tester,200.00,,16038,https://www.starcompany-py.com/perfumes/16038-tester-new-notes-rosa-limone-edp-50ml.html,2,https://www.starcompany-py.com/7916-home_default/tester-new-notes-rosa-limone-edp-50ml.jpg,2026-07-10
