cat_star,Marca,id_manufacturer,conteo
121,12 PARFUMEURS FRANCAIS,442,5
121,AFNAN,290,16
121,AL HARAMAIN,289,69
121,AL WATANIAH,291,17
121,ALEXANDRE J,349,1
121,ALFRED RITCHY,453,10
121,ANIMALE,315,5
121,ANTONIO BANDERAS,326,38
121,ARABIAN OUD,450,2
121,ARD AL ZAAFARAN,338,2
121,ARMAF,246,50
121,ATELIER REBUL,520,29
121,AZZARO,249,21
121,BHARARA,287,14
121,BILLIE EILISH,323,1
121,BOIS 1920,413,2
121,BOND NO 9,431,9
121,BRITNEY SPEARS,248,8
121,BURBERRY,251,13
121,BVLGARI,250,15
121,BYREDO,430,6
121,CACHAREL,253,8
121,CALVIN KLEIN,254,32
121,CAROLINA HERRERA,252,75
121,CHABAUD MAISON DE PARFUM,437,1
121,CHANEL,245,39
121,CHLOE,260,13
121,CHRISTIAN DIOR,258,34
121,CLINIQUE,255,2
121,CLIVE CHRISTIAN,497,1
121,CREED,298,36
121,D.HERMOSA,372,10
121,DAVIDOFF,502,1
121,DIESEL,270,1
121,DIPTYQUE,429,2
121,DOLCE&GABBANA,334,41
121,DONNA KARAN,421,1
121,ELIE SAAB,284,3
121,ELIZABETH ARDEN,281,2
121,EMPER,344,2
121,ESSENTIAL PARFUMS,506,2
121,FERRAGAMO,341,1
121,FERRARI,286,1
121,FRAGRANCE WORLD,360,2
121,FREDERIC MALLE,428,7
121,FRENCH AVENUE,313,32
121,GABRIELA SABATINI,275,1
121,GIORGIO ARMANI,242,50
121,GIORGIO BEVERLY HILLS,342,1
121,GIVENCHY,247,34
121,GRES,262,2
121,GRITTI,412,9
121,GUCCI,309,10
121,GUERLAIN,418,2
121,GUY LAROCHE,282,1
121,HALLOWEEN,427,12
121,HAUTE FRAGRANCE COMPANY,447,8
121,HERMES PARIS,285,2
121,HUGO BOSS,263,14
121,INITIO,317,4
121,ISSEY MIYAKE,267,16
121,JACQUES BOGART,268,2
121,JEAN PAUL GAULTIER,271,44
121,JIMMY CHOO,321,14
121,JO MALONE,307,3
121,JO MILANO,507,8
121,JOOP,272,2
121,JUICY COUTURE,406,1
121,JULIETTE HAS A GUN,433,1
121,KAJAL,443,15
121,KENZO,277,6
121,KILIAN,411,5
121,L'AFFAIR,475,13
121,LACOSTE,314,3
121,LANCOME,264,15
121,LATTAFA,235,154
121,LE LABO,434,3
121,LOMANI,517,1
121,LOUIS VUITTON,408,17
121,MAISON ALHAMBRA,236,109
121,MAISON ASRAR,493,9
121,MAISON CRIVELLI,415,3
121,MAISON FRANCIS KURKDJIAN,300,1
121,MAISON MARGIELA,352,2
121,MANCERA PARIS,308,16
121,MARC JACOBS,324,11
121,MARC-ANTOINE BARROIS,448,1
121,MARINA DE BOURBON,407,1
121,MARQUISA DUBAI,471,8
121,MATIERE PREMIERE,449,5
121,MAWWAL,325,15
121,MICHAEL KORS,347,2
121,MINI BRAND COLLECTION,474,36
121,MIZENSIR,451,9
121,MODYAFA,508,8
121,MONTALE,435,15
121,MONTBLANC,261,21
121,MOSCHINO,269,11
121,NARCISO RODRIGUEZ,278,9
121,NINA RICCI,401,5
121,NISHANE,380,4
121,ORIENTICA,288,7
121,ORMONDE JAYNE,470,9
121,PACO RABANNE,257,56
121,PALOMA PICASSO,265,3
121,PARADIS DES SENS,511,9
121,PARFUMS DE MARLY,302,11
121,PARIS CORNER,377,8
121,PRADA,259,17
121,RALPH LAUREN,244,7
121,RASASI,306,43
121,RAYHAAN,361,9
121,ROJA,436,2
121,SABRINA CARPENTER,409,1
121,SARAH JESSICA PARKER,516,2
121,SCENTOLOGIA,512,25
121,SHAKIRA,105,4
121,SMART COLLECTION,461,2
121,SOSPIRO,379,13
121,STEPHANE HUMBERT LUCAS 777,521,15
121,TED LAPIDUS PARIS,283,2
121,THAMEEN,469,5
121,THE HOUSE OF OUD,416,4
121,THIERRY MUGLER,276,23
121,THOMAS KOSMALA,446,10
121,THOQ AL HAWAMER,382,3
121,TIFFANY & CO,376,1
121,TIZIANA TERENZI,426,15
121,TOM FORD,299,3
121,TOMMY HILFIGER,294,7
121,VALENTINO,280,19
121,VERSACE,266,33
121,VIKTOR&ROLF,335,8
121,XERJOFF,293,44
121,YVES SAINT LAURENT,274,33
121,ZAKAT,346,7
121,ZIMAYA,336,1
100,AMUSE,458,108
100,ANWAR,491,6
100,ARD AL ZAAFARAN,338,2
100,ARMAF,246,5
100,BEAUTY BRAND,383,9
100,CAROLINA HERRERA,252,2
100,CELIMAX,501,17
100,CHANEL,245,1
100,DEXE,312,8
100,DMT (DE MEDICOTEM),460,1
100,ELRAVIE,456,40
100,ISABELLE LA BELLE,356,3
100,KARSEELL,318,2
100,KERASTASE,320,23
100,LATTAFA,235,23
100,LEFILLEO,459,5
100,MADAGASCAR CENTELLA,457,29
100,MAISON ALHAMBRA,236,11
100,MEDICUBE,373,10
100,SHISEIDO,509,7
100,THIERRY MUGLER,276,4
100,VICTORIA SECRET,339,26
100,XERJOFF,293,4
